ie,davis_class_any,davis_class_code,mean_ie_lu_price,med_ie_lu_price,sd_ie_lu_price,count_ie_lu_price
323,orchard,9,23978.67,23978.67,,1
323,pasture,11,5299.6182,4021.5044,3015.6299,4
324,pasture,11,15647.826,15647.826,,1
325,alfalfa,1,10873.706,9197.9395,7672.1294,3
325,developed,4,18545.184,18545.184,,1
325,fallow,5,18664.688,18664.688,,1
325,grain,7,11590.391,12462.523,5701.4131,7
325,orchard,9,191.95462,191.95462,,1
325,tomato,13,9147.1484,9402.5596,7133.5483,4
326,alfalfa,1,13101.723,13101.723,3050.2341,2
326,grain,7,7737.0176,7737.0176,757.7395,2
326,rice,12,6722.4639,6722.4639,,1
330,fallow,5,6116.8506,6116.8506,7466.1157,2
330,grain,7,21410.842,21410.842,,1
330,orchard,9,9387.1709,9387.1709,5643.1504,2
331,alfalfa,1,16004.525,16004.525,417.66187,2
331,fallow,5,8952.6943,8952.6943,,1
331,orchard,9,20756.215,15191.164,17295.496,3
332,fallow,5,25207.756,23994.793,6137.5327,5
332,orchard,9,34377.602,34377.602,17804.158,2
332,rice,12,25012.367,15336.079,18670.525,3
333,fallow,5,7427.7617,7427.7617,,1
333,orchard,9,25836.619,26839.693,11487.635,11
333,rice,12,10311.243,10311.243,3589.1272,2
334,grain,7,19994.223,19994.223,,1
334,orchard,9,19394.725,19394.725,,1
334,pasture,11,13502.557,13502.557,13006.356,2
334,rice,12,88560.883,88560.883,,1
335,pasture,11,4687.0381,5503.6333,3649.1042,3
336,alfalfa,1,13788.939,13788.939,3106.0247,2
336,developed,4,52261.148,52261.148,,1
336,fallow,5,3530.7334,3530.7334,,1
336,grain,7,14213.642,15000,1364.3391,3
336,orchard,9,69465.148,45111.086,42859.566,3
336,pasture,11,35761.008,33098.055,11211.402,6
336,vineyard,15,49197.289,49197.289,,1
337,grain,7,8572.0273,8572.0273,5498.5811,2
338,alfalfa,1,10305.658,10305.658,,1
338,fallow,5,30783.336,19179.074,34158.363,4
338,grain,7,15212.336,17087.35,10250.838,6
338,orchard,9,16874.203,16874.203,7648.4937,2
